X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-62.32442621459991,-36.37494502475415,train,0.006992101707832717,44.23793337743484,0.5670339656535319
-62.15020812808251,-36.514970181705785,train,0.010214304233860046,56.096796547381835,0.656732747462906
-62.032719406903496,-36.53421880488652,train,0.009560598162543886,50.1493291498642,0.6416721223172955
-61.74327471294158,-36.65956504916179,train,0.0067402421994893595,39.46743753993429,0.558006293606622
-62.29045263845204,-36.31083650988939,train,0.006756627380907147,40.14290163629605,0.5586050390480745
-62.18523298395014,-36.34574431726192,train,0.005425866568842993,35.21320513288178,0.5040390026618123
-62.308922077800325,-36.37711393702717,train,0.005068862476196032,32.59606149332136,0.4870267044883969
-61.996135454698845,-36.71499266496871,train,0.018879999776009765,99.99999972008634,0.7795561814039049
-62.1722561880688,-36.46330708824063,train,0.010223723371026368,57.12098633371112,0.6569405067500547
-62.09123316385078,-36.55217552475066,train,0.013714197274084803,83.88301754919154,0.7197880137497146
-62.26007025077148,-36.62225998606029,train,0.007406781158135809,45.719290983746696,0.5811204623220642
-62.139736928309176,-36.526130371880946,train,0.01401315053332478,85.28411629289764,0.7241167668680593
-62.09549401712416,-36.55506869996088,train,0.013284984087847418,81.1636659632754,0.713330143685359
-62.17589448337917,-36.34555187389734,train,0.0060015512406593205,38.14380969954927,0.5292158602633938
-62.05152973440397,-36.54172999242029,train,0.009688904232018401,52.08419375477612,0.6447314924270617
-61.75143107427201,-36.644831976141134,train,0.006757967951569879,41.49240319092861,0.5586539542477962
-62.11789214260126,-36.44240869228584,train,0.008843273135972884,47.364210995384376,0.6235481440657586
-62.079539742433674,-36.547762929964044,train,0.012565554456621265,72.01650344283095,0.7018112956919661
-62.01223105614233,-36.63558891977506,train,0.017330143347433484,92.9148234067091,0.7644846967507161
-62.04781519101438,-36.54874188067506,train,0.010276618645308969,59.16988432711834,0.6581025697171965
-61.73879666023149,-36.66156533379912,train,0.005991574411544085,37.54391823466205,0.5288013207522543
-62.164508779952,-36.48573476147697,train,0.01065945606525595,61.28353159320586,0.6662841015403687
-62.1350105218084,-36.47256981007854,train,0.010480592291979082,60.21780816469383,0.6625109303769735
-62.13656423626422,-36.49654575146448,train,0.01317746370362885,78.5105304695925,0.7116655167004351
-62.25393944841286,-36.621696905788085,train,0.007406781158135809,45.719290983746696,0.5811204623220642
-62.001052947068324,-36.63532314563963,train,0.017330143347433484,92.9148234067091,0.7644846967507161
-61.999889333333336,-36.63867066666667,train,0.017330143347433484,92.9148234067091,0.7644846967507161
-62.11760028826448,-36.51214038876898,train,0.012957918052341083,75.89834132299616,0.7082057592829639
-62.11140767168375,-36.55991411652692,train,0.01623640359309061,91.17604662440544,0.7525454744149798
-62.28356946420245,-36.30420022996992,train,0.006756627380907147,40.14290163629605,0.5586050390480745
-62.08722927170582,-36.52674100587308,train,0.012532595747043396,69.5083969147793,0.7012613747293904
-62.10971526417173,-36.51858676644723,train,0.012957918052341083,75.89834132299616,0.7082057592829639
-62.24253782815978,-36.612571350105014,train,0.005712960254953782,36.35563283658208,0.5169225495102245
-62.1561623807031,-36.53111560713443,train,0.014075491144918404,86.69169717840028,0.7250026417679849
-62.15015260331424,-36.9379922557493,train,0.012124272369941444,67.04247366209114,0.6942762805388593
-62.15879603128994,-36.95237035836772,train,0.005273007576465319,34.67059035441116,0.49689494906753173
-62.14391052715697,-36.94317553088234,train,0.00760581235732205,46.479869478615484,0.5875609330440449
-62.16229358667934,-36.9342329697217,train,0.012124272369941444,67.04247366209114,0.6942762805388593
-62.09932170993452,-36.50335036929198,train,0.011996512796959296,65.83042995261503,0.6920231405184668
-62.075757101991115,-36.53671777361121,train,0.012532595747043396,69.5083969147793,0.7012613747293904
-62.158875250000776,-36.51737610000015,train,0.014316828982508238,89.55242508604984,0.7283791249605749
-62.047529155008036,-36.53803055792195,train,0.011002823050207678,62.384206655755165,0.6732960280568336
-62.152436850813324,-36.54249638174921,train,0.014288204319937787,88.12093392508571,0.7279829864197652
-61.7244605,-36.669528,train,0.00424921640106379,29.745616363583192,0.44317490387501507
-61.73310709392728,-36.658819414273175,train,0.006777251083292307,42.84992609284189,0.5593563660777532
-62.101519697692275,-36.54281337518995,train,0.013250138356701299,79.83723334470626,0.7127927723648532
-61.73120401163928,-36.6670501119307,train,0.006777251083292307,42.84992609284189,0.5593563660777532
-62.04499594769775,-36.5076182525345,train,0.011199946693241977,63.50486737623943,0.6771899539530573
-62.32790865409044,-36.372280327946605,train,0.006888008000812015,43.538707723332216,0.5633479145590864
-62.106685579239254,-36.47084185463387,train,0.00965938305644869,51.11537380620416,0.6440322165237357
-62.04108425668027,-36.54339650520468,train,0.011265869235543137,64.63013213513945,0.6784715404369689
-62.07913633592836,-36.53068554787193,train,0.010234182739875386,58.1404443541484,0.6571709160943239
-61.7650473623498,-36.6730277211278,train,0.010111944635880336,55.07535087573176,0.6544586531263233
-61.83492217257477,-36.69324321891607,train,0.013473416735648032,82.51170865994466,0.7162015569180025
-62.06121059415715,-36.49212951457919,train,0.012863321173859528,73.30485976579999,0.7066893063765437
-62.09188666814461,-36.47679108953542,train,0.009967191237764026,54.06371982216129,0.6511907870799301
