Predictor variable,Categorical,Sample average
CVPrecAnual,false,39.410714285714285
IndiceProdSuelo,false,46.857142857142854
PrecTrimHumedo,false,282.5892857142857
PrecipAnual,false,829.5357142857143
PrecipTrimMasCalido,false,263.55357142857144
RadiacionFotActIncidenteAnual,false,780.25
TemoMinMesMasFrio,false,25.071428571428573
TempMediaAnual,false,153.03571428571428
TempMesMasCalido,false,313.1607142857143
