Predictor variable,Categorical,Sample average
CVPrecAnual,false,39.56470588235294
IndiceProdSuelo,false,50.71764705882353
PrecTrimHumedo,false,281.6
PrecipAnual,false,826.3411764705883
PrecipTrimMasCalido,false,262.08235294117645
RadiacionFotActIncidenteAnual,false,780.7647058823529
TemoMinMesMasFrio,false,25.223529411764705
TempMediaAnual,false,153.71764705882353
TempMesMasCalido,false,313.1294117647059
