Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.60136E-9,0.00000016,0.000000485,1,0,0
1.65107E-9,0.000001446,0.0000005,0.999219284,0,0
1.86172E-9,0.00027505,0.000000564,0.837513419,0,0
8.28528E-9,0.00050041,0.000002509,0.770274227,0,0
2.77535E-8,0.001006819,0.000008406,0.746462379,0,0
5.44677E-8,0.002501602,0.000016497,0.708597638,0,0
7.96003E-8,0.005003644,0.000024108,0.671806382,0,0
1.00143E-7,0.010004618,0.00003033,0.619010442,0,0
1.93589E-7,0.025070884,0.00005863,0.507855958,0,0
3.59937E-7,0.050006859,0.000109004,0.41651215,0,0
6.40899E-7,0.100035945,0.000194075,0.319508149,0,0
1.22853E-6,0.200240989,0.000371954,0.210110276,0,0
2.31731E-6,0.300094383,0.000701362,0.150287889,0,0
4.04815E-6,0.402850637,0.001224582,0.1184737,0.004048583,0
6.11029E-6,0.500453155,0.001847234,0.099834098,0.004048583,0
9.39351E-6,0.601443249,0.002836986,0.087049868,0.004048583,0
1.10443E-5,0.702028304,0.003333902,0.077486093,0.004048583,0
1.19159E-5,0.751711965,0.003596057,0.073289743,0.004048583,0
1.27659E-5,0.801195454,0.003851576,0.069386162,0.004048583,0
1.41873E-5,0.901638944,0.004278587,0.062066946,0.004048583,0
1.57974E-5,1.000847435,0.004761843,0.055528447,0.004048583,0
1.93618E-5,1.101783094,0.005830012,0.049868254,0.004048583,0
2.21477E-5,1.201736858,0.006663277,0.045183956,0.004048583,0
2.65695E-5,1.301162728,0.007982991,0.041182785,0.004048583,0
3.14221E-5,1.405812098,0.009427254,0.037669562,0.004048583,0
3.88675E-5,1.500165243,0.01163501,0.034937055,0.004048583,0
7.02522E-5,1.756324646,0.020834324,0.030057578,0.004048583,0
1.8811E-4,2.013498888,0.053902691,0.027910608,0.004048583,0
3.3504E-4,2.276121812,0.092126654,0.026837123,0.004048583,0
3.8453E-4,2.500301276,0.104315321,0.026251586,0.004048583,0
5.35356E-4,2.757935812,0.139522807,0.025666049,0.012145749,0
1.1206E-3,3.101665897,0.253397357,0.02527569,0.016194332,0
1.45358E-3,3.359083529,0.305677421,0.025080511,0.016194332,0
1.6645E-3,3.525533864,0.335166601,0.024982922,0.016194332,0
2.25944E-3,3.751477849,0.406291249,0.024885332,0.016194332,0
2.28587E-3,4.207867458,0.409099856,0.024690153,0.016194332,0
2.34155E-3,4.670609917,0.414930032,0.024494974,0.024291498,0
2.34155E-3,4.904765129,0.414930032,0.024299795,0.024291498,0
2.65651E-3,5.170415638,0.445857085,0.024299795,0.032388664,0
2.88276E-3,5.458691837,0.466130277,0.024202206,0.036437247,0
2.88276E-3,5.746968036,0.466130277,0.024007026,0.036437247,0
2.89222E-3,6.036190096,0.46694554,0.024007026,0.044534413,0
2.89222E-3,7.771522457,0.46694554,0.0233239,0.044534413,0
3.13097E-3,8.084619834,0.486730247,0.0233239,0.072874494,0
3.13097E-3,8.397717212,0.486730247,0.023128721,0.072874494,0
3.14542E-3,8.712258828,0.487880041,0.023128721,0.08097166,0
3.14542E-3,9.026800445,0.487880041,0.023031131,0.08097166,0
3.14542E-3,9.341342062,0.487880041,0.022835952,0.08097166,0
3.17376E-3,9.658717753,0.490121408,0.022835952,0.093117409,0
3.22616E-3,9.981333764,0.494214524,0.022738362,0.097165992,0
3.32907E-3,10.31424107,0.502064578,0.022640773,0.097165992,0
3.40733E-3,10.654973828,0.507872535,0.022543183,0.097165992,0
3.40733E-3,11.336439346,0.507872535,0.022250415,0.097165992,0
3.42119E-3,11.678558065,0.508887084,0.022250415,0.109311741,0
3.42119E-3,12.362795504,0.508887084,0.021957646,0.109311741,0
3.45989E-3,12.708784618,0.51169826,0.021957646,0.117408907,0
3.45989E-3,13.054773731,0.51169826,0.021762467,0.117408907,0
3.59499E-3,13.414272929,0.521263721,0.021762467,0.125506073,0
3.61289E-3,13.775562013,0.522502962,0.021664878,0.129554656,0
3.6568E-3,14.141242431,0.525516326,0.021567288,0.129554656,0
3.6568E-3,14.506922849,0.525516326,0.021469698,0.129554656,0
3.7369E-3,14.880612979,0.530915809,0.021372109,0.137651822,0
3.74603E-3,15.255215951,0.531523381,0.021274519,0.137651822,0
3.77032E-3,15.632247632,0.53313225,0.02117693,0.141700405,0
3.7851E-3,16.010758073,0.534106435,0.02107934,0.141700405,0
3.78841E-3,16.389598934,0.534323555,0.020981751,0.145748988,0
3.78841E-3,18.283803236,0.534323555,0.020493803,0.145748988,0
3.78841E-3,19.041484957,0.534323555,0.020201034,0.145748988,0
3.79156E-3,19.420641089,0.534530532,0.020201034,0.178137652,0
3.79156E-3,19.79979722,0.534530532,0.020103445,0.178137652,0
3.79156E-3,20.937265614,0.534530532,0.019713087,0.178137652,0
3.82793E-3,21.320058149,0.536904621,0.019713087,0.198380567,0
3.82793E-3,21.702850685,0.536904621,0.019615497,0.198380567,0
3.82793E-3,22.468435755,0.536904621,0.019322729,0.198380567,0
3.83446E-3,22.851881285,0.537328377,0.019322729,0.210526316,0
3.83728E-3,23.235608897,0.537511193,0.019225139,0.214574899,0
3.83728E-3,24.386791735,0.537511193,0.018834781,0.214574899,0
3.85611E-3,24.772402399,0.538727894,0.018834781,0.230769231,0
3.85611E-3,25.929234392,0.538727894,0.018444423,0.230769231,0
3.88069E-3,26.31730312,0.54030653,0.018444423,0.246963563,0
3.88069E-3,31.362196586,0.54030653,0.017175759,0.246963563,0
3.88069E-3,31.750265314,0.54030653,0.01698058,0.246963563,0
3.88698E-3,32.138963044,0.540708757,0.01698058,0.307692308,0
3.89647E-3,32.528610276,0.541314603,0.01688299,0.311740891,0
3.89647E-3,40.711202153,0.541314603,0.01483361,0.311740891,0
3.89647E-3,45.38696894,0.541314603,0.013662535,0.311740891,0
3.89647E-3,45.776616172,0.541314603,0.013467356,0.311740891,0
3.89973E-3,46.166589255,0.54152215,0.013467356,0.453441296,0
3.89973E-3,46.556562338,0.54152215,0.013272177,0.453441296,0
3.90926E-3,46.947488039,0.542127832,0.013272177,0.461538462,0
3.90926E-3,51.638596449,0.542127832,0.012101103,0.461538462,0
3.90926E-3,55.156927756,0.542127832,0.011222797,0.461538462,0
3.90926E-3,71.966732892,0.542127832,0.006928857,0.461538462,0
3.94055E-3,72.360788209,0.54410645,0.006928857,0.712550607,0
3.94055E-3,88.517056191,0.54410645,0.002927686,0.712550607,0
3.94055E-3,91.669498724,0.54410645,0.00214697,0.712550607,0
3.95348E-3,92.064846972,0.544918889,0.00204938,0.914979757,0
3.95348E-3,96.809025955,0.544918889,0.000878306,0.914979757,0
3.95348E-3,98.785767198,0.544918889,0.000390358,0.914979757,0
3.95348E-3,99.181115446,0.544918889,0.000195179,0.914979757,0
4.09442E-3,99.590557723,0.553590908,0.000195179,0.991902834,0
