Predictor variable,Categorical,Sample average
CVPrecAnual,false,39.46153846153846
IndiceProdSuelo,false,51.08097165991903
PrecTrimHumedo,false,282.1174089068826
PrecipAnual,false,827.995951417004
PrecipTrimMasCalido,false,262.582995951417
RadiacionFotActIncidenteAnual,false,780.82995951417
TemoMinMesMasFrio,false,25.291497975708502
TempMediaAnual,false,153.66801619433198
TempMesMasCalido,false,313.09716599190284
