Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.21007E-3,60.195022402,0.578654386,0.004744958,0.572649573,0
8.21007E-3,61.01602911,0.578654386,0.004547252,0.572649573,0
8.21364E-3,61.837393308,0.578760523,0.004547252,0.615384615,0
8.22423E-3,62.659816013,0.579074474,0.004448399,0.623931624,0
8.22423E-3,64.304661422,0.579074474,0.004151839,0.623931624,0
8.23056E-3,65.127717818,0.579262202,0.004151839,0.64957265,0
8.23056E-3,65.950774213,0.579262202,0.003954132,0.64957265,0
8.236E-3,66.774373875,0.579423009,0.003954132,0.666666667,0
8.236E-3,68.4215732,0.579423009,0.003657572,0.666666667,0
8.24154E-3,69.245726869,0.579586868,0.003657572,0.692307692,0
8.25192E-3,70.070918755,0.579893599,0.003558719,0.700854701,0
8.25585E-3,70.896503939,0.580009678,0.003459866,0.709401709,0
8.2876E-3,72.550848948,0.580944308,0.003262159,0.726495726,0
8.30484E-3,73.381332773,0.581450122,0.003163306,0.735042735,0
8.32895E-3,74.214227565,0.582155443,0.003064452,0.735042735,0
8.32895E-3,75.047122358,0.582155443,0.002866746,0.735042735,0
8.33667E-3,75.88078947,0.582380881,0.002866746,0.752136752,0
8.36087E-3,76.716876791,0.583085759,0.002767892,0.760683761,0
8.36087E-3,77.552964112,0.583085759,0.002570186,0.760683761,0
8.40498E-3,78.393461879,0.584364187,0.002570186,0.777777778,0
8.42724E-3,80.076683149,0.585006375,0.002372479,0.794871795,0
8.45954E-3,80.922636854,0.585934858,0.002273626,0.803418803,0
8.46523E-3,81.769159602,0.586097992,0.002174773,0.811965812,0
8.46974E-3,82.616133765,0.586227313,0.002075919,0.820512821,0
8.49196E-3,83.465330055,0.586862731,0.001977066,0.829059829,0
8.49196E-3,85.163722633,0.586862731,0.001680506,0.829059829,0
8.60049E-3,86.023772016,0.58993834,0.001680506,0.854700855,0
8.60544E-3,86.884315773,0.590077348,0.001581653,0.863247863,0
8.68914E-3,87.753230251,0.592416805,0.0014828,0.871794872,0
8.68914E-3,88.622144729,0.592416805,0.001285093,0.871794872,0
8.68974E-3,89.491119024,0.592433427,0.001285093,0.888888889,0
8.69713E-3,90.360832385,0.592638683,0.00118624,0.897435897,0
8.71197E-3,91.232029362,0.593050094,0.001087386,0.905982906,0
8.71197E-3,92.103226339,0.593050094,0.00088968,0.905982906,0
8.72294E-3,92.975520795,0.593353894,0.00088968,0.923076923,0
8.72294E-3,93.847815252,0.593353894,0.000691973,0.923076923,0
8.73036E-3,94.720851598,0.593559005,0.000691973,0.94017094,0
8.75627E-3,95.596478901,0.594273707,0.00059312,0.948717949,0
8.77888E-3,96.474367364,0.594895385,0.000494267,0.957264957,0
8.77888E-3,97.352255828,0.594895385,0.00029656,0.957264957,0
8.82331E-3,98.234587076,0.596111342,0.00029656,0.974358974,0
8.82331E-3,99.116918325,0.596111342,0.000098853,0.974358974,0
8.83082E-3,100,0.596316008,0.000098853,0.991452991,0
