Predictor variable,Categorical,Sample average
CVPrecAnual,false,39.48717948717949
IndiceProdSuelo,false,52.41025641025641
PrecTrimHumedo,false,282.1709401709402
PrecipAnual,false,828.4444444444445
PrecipTrimMasCalido,false,262.7435897435897
RadiacionFotActIncidenteAnual,false,780.982905982906
TemoMinMesMasFrio,false,25.213675213675213
TempMediaAnual,false,153.55555555555554
TempMesMasCalido,false,313.11965811965814
